# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
0.01,9.508e-4,0.19,19.021,0.19,19.021,0,0,0,0,0,0,28.61,-80.6,9.792,85.056,0,0,0,3.007e4,8099.318,23.331,0.064,NaN,184.413,NaN,0.006,4.603e5,866.536,3.603e-5,0.586,8.991e-4,0.504,0.009,0.072,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.435e-5,13.081,134.391,90,0,2.198,15,1013.25,340.389,0.01,0.011
0.02,0.007,0.957,76.673,0.957,76.673,0,0,0,0,0,0,28.61,-80.6,9.792,66.284,0,0,0,3.007e4,8090.636,23.324,0.064,NaN,184.387,NaN,0.007,4.963e5,2599.609,0.004,0.578,0.078,0.496,0.009,0.072,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.225e-4,13.081,134.391,90,0,2.178,15,1013.249,340.389,0.01,0.013
0.03,0.022,2.053,109.69,2.053,109.69,0,0,0,0,0,0,28.61,-80.6,9.792,46.42,0,0,0,3.005e4,8074.741,23.311,0.064,NaN,184.34,NaN,0.009,6.214e5,3590.388,0.025,0.555,0.339,0.473,0.009,0.072,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.629e-4,13.081,134.391,90,0,2.158,15,1013.247,340.389,0.01,0.015
0.04,0.048,3.12,106.739,3.12,106.739,0,0,0,0,0,0,28.61,-80.6,9.792,34.411,0,0,0,3.003e4,8058.044,23.297,0.064,NaN,184.29,NaN,0.011,7.891e5,3499.8,0.062,0.532,0.524,0.451,0.009,0.072,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.995e-4,13.081,134.391,90,0,2.137,15,1013.244,340.389,0.01,0.017
0.05,0.084,4.155,103.493,4.155,103.493,0,0,0,0,0,0,28.61,-80.6,9.792,27.001,0,0,0,3.002e4,8041.427,23.283,0.064,NaN,184.241,NaN,0.014,9.729e5,3400.498,0.108,0.514,0.606,0.432,0.009,0.072,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.32e-4,13.081,134.391,90,0,2.117,14.999,1013.24,340.389,0.01,0.02
0.06,0.131,5.175,102.015,5.175,102.015,0,0,0,0,0,0,28.61,-80.6,9.792,22.397,0,0,0,3e4,8025.537,23.27,0.064,NaN,184.194,NaN,0.016,1.168e6,3354.412,0.162,0.499,0.629,0.417,0.009,0.072,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.626e-4,13.081,134.391,90,0,2.133,14.999,1013.235,340.388,0.01,0.022
0.07,0.187,6.192,101.754,6.192,101.754,0,0,0,0,0,0,28.61,-80.6,9.792,19.131,0,0,0,2.998e4,8009.648,23.256,0.064,NaN,184.146,NaN,0.019,1.367e6,3344.856,0.222,0.486,0.629,0.404,0.009,0.072,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.928e-4,13.081,134.391,90,0,2.148,14.999,1013.228,340.388,0.01,0.024
0.08,0.254,7.207,101.492,7.207,101.492,0,0,0,0,0,0,28.61,-80.6,9.792,16.709,0,0,0,2.997e4,7993.758,23.243,0.064,NaN,184.099,NaN,0.022,1.57e6,3335.3,0.288,0.476,0.618,0.394,0.009,0.072,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.227e-4,13.081,134.391,90,0,2.163,14.998,1013.22,340.388,0.01,0.027
0.09,0.332,8.219,101.23,8.219,101.23,0,0,0,0,0,0,28.61,-80.6,9.792,14.847,0,0,0,2.995e4,7977.869,23.229,0.064,NaN,184.052,NaN,0.025,1.774e6,3325.745,0.357,0.467,0.6,0.385,0.009,0.072,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,13.081,134.391,90,0,2.179,14.998,1013.211,340.388,0.01,0.028
0.1,0.419,9.228,100.967,9.228,100.967,0,0,0,0,0,0,28.61,-80.6,9.792,13.374,0,0,0,2.994e4,7961.979,23.216,0.064,NaN,184.004,NaN,0.028,1.979e6,3316.189,0.43,0.459,0.58,0.377,0.009,0.072,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,13.081,134.391,90,0,2.194,14.997,1013.201,340.387,0.01,0.03
0.11,0.516,10.235,100.704,10.235,100.704,0,0,0,0,0,0,28.61,-80.6,9.792,12.107,0,0,0,2.992e4,7946.089,23.203,0.064,NaN,183.957,NaN,0.031,2.184e6,3306.633,0.505,0.452,0.56,0.37,0.009,0.072,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,13.081,134.391,90,0,2.195,14.997,1013.189,340.387,0.01,0.032
