# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (in),CG location (in),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (in),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
0.01,-3.54E-04,-0.071,-7.081,0.071,7.081,0,0,0,0,0,0,28.61,-80.6,9.792,92.004,0,0,0,2.872e4,6913.174,24.997,0.063,NaN,75.164,NaN,0.006,4.4e5,77.861,-2.16E-06,0.614,-6.46E-05,0.533,0.008,0.073,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.066e-6,5.12,132.83,90,0,2.024,15,1013.25,340.389,0.01,0.009
0.02,-8.29E-05,-0.017,-1.657,0.017,1.657,0,0,0,0,0,0,28.61,-80.6,9.792,90.474,0,0,0,2.871e4,6909.229,24.993,0.063,NaN,75.159,NaN,0.006,4.351e5,233.584,-2.85E-08,0.615,-8.72E-07,0.534,0.008,0.073,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.123e-6,5.12,132.83,90,0,2.003,15,1013.25,340.389,0.01,0.014
0.03,1.883e-4,0.038,3.768,0.038,3.768,0,0,0,0,0,0,28.61,-80.6,9.792,88.911,0,0,0,2.871e4,6905.283,24.988,0.063,NaN,75.153,NaN,0.006,4.306e5,389.307,3.36e-7,0.616,1.051e-5,0.535,0.008,0.073,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.823e-6,5.12,132.83,90,0,1.982,15,1013.25,340.389,0.01,0.017
0.04,0.001,0.13,9.194,0.13,9.194,0,0,0,0,0,0,28.61,-80.6,9.792,86.219,0,0,0,2.871e4,6901.338,24.984,0.063,NaN,75.148,NaN,0.006,4.269e5,545.03,1.347e-5,0.617,4.286e-4,0.536,0.008,0.073,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.659e-5,5.12,132.83,90,0,1.961,15,1013.25,340.389,0.01,0.02
0.05,0.003,0.276,14.622,0.276,14.622,0,0,0,0,0,0,28.61,-80.6,9.792,81.909,0,0,0,2.87e4,6897.392,24.98,0.063,NaN,75.142,NaN,0.006,4.256e5,700.753,1.252e-4,0.618,0.004,0.537,0.008,0.073,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.531e-5,5.12,132.83,90,0,1.94,15,1013.25,340.389,0.01,0.022
0.06,0.007,0.476,20.052,0.476,20.052,0,0,0,0,0,0,28.61,-80.6,9.792,76.231,0,0,0,2.87e4,6893.447,24.976,0.063,NaN,75.137,NaN,0.006,4.347e5,856.476,6.004e-4,0.615,0.018,0.534,0.008,0.073,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.098e-5,5.12,132.83,90,0,1.944,15,1013.249,340.389,0.01,0.025
0.07,0.013,0.731,25.483,0.731,25.483,0,0,0,0,0,0,28.61,-80.6,9.792,69.421,0,0,0,2.869e4,6889.501,24.972,0.063,NaN,75.131,NaN,0.006,4.518e5,1012.198,0.002,0.611,0.056,0.53,0.008,0.073,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.361e-5,5.12,132.83,90,0,1.947,15,1013.248,340.389,0.01,0.027
0.08,0.022,1.04,30.915,1.04,30.915,0,0,0,0,0,0,28.61,-80.6,9.792,61.933,0,0,0,2.869e4,6885.556,24.968,0.063,NaN,75.126,NaN,0.006,4.802e5,1167.921,0.005,0.604,0.127,0.523,0.008,0.073,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.332e-4,5.12,132.83,90,0,1.951,15,1013.247,340.389,0.01,0.03
0.09,0.034,1.403,36.252,1.403,36.252,0,0,0,0,0,0,28.61,-80.6,9.792,54.333,0,0,0,2.869e4,6880.674,24.962,0.063,NaN,75.119,NaN,0.007,5.226e5,1320.814,0.011,0.594,0.228,0.514,0.008,0.073,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.796e-4,5.12,132.83,90,0,1.954,15,1013.246,340.389,0.01,0.033
0.1,0.05,1.786,38.341,1.786,38.341,0,0,0,0,0,0,28.61,-80.6,9.792,47.63,0,0,0,2.868e4,6872.045,24.953,0.063,NaN,75.107,NaN,0.008,5.757e5,1380.327,0.019,0.584,0.335,0.503,0.008,0.073,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.287e-4,5.12,132.83,90,0,1.958,15,1013.244,340.389,0.01,0.035
0.11,0.07,2.174,38.851,2.174,38.851,0,0,0,0,0,0,28.61,-80.6,9.792,42.186,0,0,0,2.867e4,6863.416,24.944,0.063,NaN,75.095,NaN,0.009,6.374e5,1394.564,0.03,0.573,0.426,0.493,0.008,0.073,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.784e-4,5.12,132.83,90,0,1.971,15,1013.242,340.389,0.01,0.037
0.12,0.093,2.568,39.362,2.568,39.362,0,0,0,0,0,0,28.61,-80.6,9.792,37.68,0,0,0,2.866e4,6854.787,24.935,0.063,NaN,75.083,NaN,0.01,7.048e5,1408.801,0.043,0.563,0.499,0.483,0.008,0.073,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.288e-4,5.12,132.83,90,0,1.983,14.999,1013.239,340.389,0.01,0.04
0.13,0.121,2.967,39.873,2.967,39.873,0,0,0,0,0,0,28.61,-80.6,9.792,33.934,0,0,0,2.865e4,6846.158,24.926,0.063,NaN,75.071,NaN,0.011,7.767e5,1423.038,0.058,0.554,0.553,0.473,0.008,0.073,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.798e-4,5.12,132.83,90,0,1.996,14.999,1013.236,340.388,0.01,0.042
0.14,0.153,3.37,40.385,3.37,40.385,0,0,0,0,0,0,28.61,-80.6,9.792,30.794,0,0,0,2.864e4,6837.529,24.917,0.063,NaN,75.059,NaN,0.012,8.523e5,1437.275,0.074,0.545,0.592,0.464,0.008,0.073,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.315e-4,5.12,132.83,90,0,2.009,14.999,1013.232,340.388,0.01,0.044
0.15,0.188,3.779,40.897,3.779,40.897,0,0,0,0,0,0,28.61,-80.6,9.792,28.141,0,0,0,2.863e4,6828.901,24.907,0.063,NaN,75.047,NaN,0.013,9.31e5,1451.512,0.093,0.537,0.619,0.456,0.008,0.073,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.839e-4,5.12,132.83,90,0,2.021,14.999,1013.228,340.388,0.01,0.047
0.16,0.228,4.193,41.409,4.193,41.409,0,0,0,0,0,0,28.61,-80.6,9.792,25.78,0,0,0,2.863e4,6820.272,24.898,0.063,NaN,75.035,NaN,0.014,1.012e6,1465.749,0.113,0.529,0.638,0.449,0.008,0.073,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.369e-4,5.12,132.83,90,0,2.025,14.999,1013.223,340.388,0.01,0.049
0.17,0.272,4.613,41.921,4.613,41.921,0,0,0,0,0,0,28.61,-80.6,9.792,23.748,0,0,0,2.862e4,6811.643,24.889,0.063,NaN,75.023,NaN,0.015,1.095e6,1479.986,0.134,0.523,0.649,0.442,0.008,0.073,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.906e-4,5.12,132.83,90,0,2.029,14.998,1013.218,340.388,0.01,0.052
0.18,0.321,5.037,42.433,5.037,42.433,0,0,0,0,0,0,28.61,-80.6,9.792,21.983,0,0,0,2.861e4,6803.014,24.88,0.063,NaN,75.01,NaN,0.016,1.18e6,1494.223,0.157,0.516,0.654,0.435,0.008,0.073,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.449e-4,5.12,132.83,90,0,2.033,14.998,1013.212,340.388,0.01,0.054
0.19,0.373,5.466,42.946,5.466,42.946,0,0,0,0,0,0,28.61,-80.6,9.792,20.44,0,0,0,2.86e4,6794.385,24.871,0.063,NaN,74.998,NaN,0.017,1.267e6,1508.46,0.181,0.51,0.655,0.429,0.008,0.073,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.999e-4,5.12,132.83,90,0,2.037,14.998,1013.206,340.387,0.01,0.056
0.2,0.43,5.901,43.459,5.901,43.459,0,0,0,0,0,0,28.61,-80.6,9.792,19.081,0,0,0,2.859e4,6785.756,24.861,0.063,NaN,74.986,NaN,0.018,1.356e6,1522.697,0.207,0.504,0.653,0.424,0.008,0.073,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.555e-4,5.12,132.83,90,0,2.041,14.997,1013.2,340.387,0.01,0.059
0.21,0.491,6.34,43.972,6.34,43.972,0,0,0,0,0,0,28.61,-80.6,9.792,18.138,0,0,0,2.858e4,6777.127,24.852,0.063,NaN,74.974,NaN,0.02,1.449e6,1536.935,0.235,0.499,0.648,0.418,0.008,0.073,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.118e-4,5.12,132.83,90,0,2.077,14.997,1013.192,340.387,0.01,0.063
