# Simulation 6 (Up to date)
# 2863 data points written for 2 variables.
#
# Time (s),Altitude (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,9.59e-4
0.02,0.007
# Event LIFTOFF occurred at t=0.03 seconds
0.03,0.022
0.04,0.048
0.05,0.085
0.06,0.131
0.07,0.189
0.08,0.256
0.09,0.334
0.1,0.421
0.11,0.519
0.12,0.627
0.13,0.746
0.14,0.874
0.15,1.013
0.16,1.161
0.17,1.32
0.18,1.49
0.19,1.669
0.2,1.859
0.21,2.06
0.22,2.27
0.23,2.492
0.24,2.723
0.25,2.965
0.26,3.218
0.27,3.481
0.28,3.755
0.29,4.039
0.3,4.334
0.31,4.64
0.32,4.956
# Event LAUNCHROD occurred at t=0.33 seconds
0.33,5.283
0.345,5.794
0.368,6.605
0.401,7.925
0.451,10.11
0.501,12.572
0.551,15.313
0.601,18.337
0.651,21.646
0.701,25.244
0.751,29.134
0.801,33.319
0.851,37.802
0.901,42.586
0.951,47.674
1.001,53.07
1.051,58.779
1.101,64.804
1.151,71.146
1.201,77.805
1.251,84.782
1.301,92.077
1.351,99.687
1.401,107.613
1.451,115.854
1.501,124.409
1.551,133.277
1.601,142.457
1.651,151.947
1.701,161.745
1.751,171.848
1.801,182.252
1.851,192.955
1.901,203.955
1.951,215.248
2.001,226.831
2.051,238.701
2.101,250.855
2.151,263.289
2.201,276.001
2.251,288.988
2.301,302.246
2.351,315.773
2.401,329.566
2.451,343.622
2.501,357.939
2.551,372.515
2.601,387.352
2.651,402.449
2.701,417.806
2.751,433.42
2.801,449.235
2.851,465.143
2.901,481.066
2.951,496.961
# Event BURNOUT occurred at t=2.99 seconds
# Event EJECTION_CHARGE occurred at t=2.99 seconds
2.99,509.244
3.04,525.037
3.09,540.766
3.14,556.43
3.19,572.03
3.24,587.567
3.29,603.039
3.34,618.449
3.39,633.796
3.44,649.081
3.49,664.303
3.54,679.465
3.59,694.564
3.64,709.604
3.69,724.583
3.74,739.502
3.79,754.361
3.84,769.161
3.89,783.903
3.94,798.586
3.99,813.212
4.04,827.779
4.09,842.29
4.14,856.743
4.19,871.14
4.24,885.481
4.29,899.766
4.34,913.996
4.39,928.17
4.44,942.29
4.49,956.355
4.54,970.365
4.59,984.322
4.64,998.225
4.69,1012.075
4.74,1025.872
4.79,1039.616
4.84,1053.308
4.89,1066.948
4.94,1080.535
4.99,1094.072
5.04,1107.556
5.09,1120.99
5.14,1134.373
5.19,1147.705
5.24,1160.987
5.29,1174.219
5.34,1187.401
5.39,1200.534
5.44,1213.617
5.49,1226.651
5.54,1239.637
5.59,1252.574
5.64,1265.462
5.69,1278.303
5.74,1291.095
5.79,1303.84
5.84,1316.537
5.89,1329.187
5.94,1341.79
5.99,1354.346
6.04,1366.856
6.09,1379.319
6.14,1391.737
6.19,1404.108
6.24,1416.433
6.29,1428.713
6.34,1440.947
6.39,1453.136
6.44,1465.28
6.49,1477.38
6.54,1489.434
6.59,1501.445
6.64,1513.411
6.69,1525.333
6.74,1537.211
6.79,1549.046
6.84,1560.837
6.89,1572.584
6.94,1584.289
6.99,1595.95
7.04,1607.569
7.09,1619.145
7.14,1630.678
7.19,1642.169
7.24,1653.618
7.29,1665.025
7.34,1676.389
7.39,1687.713
7.44,1698.994
7.49,1710.235
7.54,1721.434
7.59,1732.592
7.64,1743.709
7.69,1754.785
7.74,1765.821
7.79,1776.816
7.84,1787.77
7.89,1798.685
7.94,1809.559
7.99,1820.393
8.04,1831.188
8.09,1841.943
8.14,1852.658
8.19,1863.334
8.24,1873.971
8.29,1884.568
8.34,1895.127
8.39,1905.647
8.44,1916.128
8.49,1926.57
8.54,1936.974
8.59,1947.34
8.64,1957.667
8.69,1967.956
8.74,1978.207
8.79,1988.42
8.84,1998.596
8.89,2008.734
8.94,2018.834
8.99,2028.897
9.04,2038.922
9.09,2048.911
9.14,2058.862
9.19,2068.777
9.24,2078.654
9.29,2088.495
9.34,2098.299
9.39,2108.067
9.44,2117.798
9.49,2127.493
9.54,2137.152
9.59,2146.774
9.64,2156.361
9.69,2165.911
9.74,2175.426
9.79,2184.905
9.84,2194.349
9.89,2203.757
9.94,2213.13
9.99,2222.467
10.04,2231.769
10.09,2241.036
10.14,2250.268
10.19,2259.465
10.24,2268.627
10.29,2277.755
10.34,2286.847
10.39,2295.906
10.44,2304.929
10.49,2313.918
10.54,2322.873
10.59,2331.794
10.64,2340.681
10.69,2349.533
10.74,2358.352
10.79,2367.137
10.84,2375.888
10.89,2384.605
10.94,2393.289
10.99,2401.939
11.04,2410.556
11.09,2419.139
11.14,2427.689
11.19,2436.206
11.24,2444.69
11.29,2453.14
11.34,2461.558
11.39,2469.942
11.44,2478.294
11.49,2486.613
11.54,2494.899
11.59,2503.153
11.64,2511.374
11.69,2519.563
11.74,2527.719
11.79,2535.843
11.84,2543.935
11.89,2551.994
11.94,2560.022
11.99,2568.017
12.04,2575.981
12.09,2583.912
12.14,2591.812
12.19,2599.68
12.24,2607.516
12.29,2615.321
12.34,2623.094
12.39,2630.835
12.44,2638.546
12.49,2646.224
12.54,2653.872
12.59,2661.488
12.64,2669.072
12.69,2676.626
12.74,2684.149
12.79,2691.64
12.84,2699.101
12.89,2706.531
12.94,2713.93
12.99,2721.298
13.04,2728.636
13.09,2735.942
13.14,2743.219
13.19,2750.464
13.24,2757.68
13.29,2764.864
13.34,2772.019
13.39,2779.143
13.44,2786.237
13.49,2793.301
13.54,2800.334
13.59,2807.338
13.64,2814.311
13.69,2821.255
13.74,2828.168
13.79,2835.052
13.84,2841.906
13.89,2848.73
13.94,2855.524
13.99,2862.289
14.04,2869.024
14.09,2875.729
14.14,2882.405
14.19,2889.052
14.24,2895.668
14.29,2902.256
14.34,2908.814
14.39,2915.343
14.44,2921.843
14.49,2928.313
14.54,2934.754
14.59,2941.166
14.64,2947.55
14.69,2953.904
14.74,2960.229
14.79,2966.525
14.84,2972.793
14.89,2979.031
14.94,2985.241
14.99,2991.422
15.04,2997.575
15.09,3003.699
15.14,3009.794
15.19,3015.86
15.24,3021.899
15.29,3027.908
15.34,3033.889
15.39,3039.842
15.44,3045.767
15.49,3051.663
15.54,3057.53
15.59,3063.37
15.64,3069.181
15.69,3074.964
15.74,3080.719
15.79,3086.446
15.84,3092.145
15.89,3097.816
15.94,3103.459
15.99,3109.074
16.04,3114.661
16.09,3120.22
16.14,3125.751
16.19,3131.255
16.24,3136.73
16.29,3142.178
16.34,3147.599
16.39,3152.991
16.44,3158.357
16.49,3163.694
16.54,3169.004
16.59,3174.287
16.64,3179.542
16.69,3184.769
16.74,3189.969
16.79,3195.142
16.84,3200.288
16.89,3205.406
16.94,3210.497
16.99,3215.56
17.04,3220.596
17.09,3225.606
17.14,3230.588
17.19,3235.543
17.24,3240.47
17.29,3245.371
17.34,3250.245
17.39,3255.091
17.44,3259.911
17.49,3264.704
17.54,3269.47
17.59,3274.209
17.64,3278.921
17.69,3283.606
17.74,3288.265
17.79,3292.897
17.84,3297.502
17.89,3302.08
17.94,3306.632
17.99,3311.157
18.04,3315.655
18.09,3320.127
18.14,3324.572
18.19,3328.991
18.24,3333.383
18.29,3337.748
18.34,3342.088
18.39,3346.4
18.44,3350.687
18.49,3354.946
18.54,3359.18
18.59,3363.387
18.64,3367.568
18.69,3371.722
18.74,3375.85
18.79,3379.952
18.84,3384.028
18.89,3388.077
18.94,3392.1
18.99,3396.097
19.04,3400.068
19.09,3404.013
19.14,3407.932
19.19,3411.824
19.24,3415.691
19.29,3419.532
19.34,3423.346
19.39,3427.135
19.44,3430.898
19.49,3434.634
19.54,3438.345
19.59,3442.03
19.64,3445.689
19.69,3449.323
19.74,3452.93
19.79,3456.512
19.84,3460.068
19.89,3463.598
19.94,3467.102
19.99,3470.581
20.04,3474.034
20.09,3477.461
20.14,3480.863
20.19,3484.239
20.24,3487.589
20.29,3490.914
20.34,3494.213
20.39,3497.486
20.44,3500.734
20.49,3503.956
20.54,3507.153
20.59,3510.325
20.64,3513.47
20.69,3516.591
20.74,3519.686
20.79,3522.755
20.84,3525.799
20.89,3528.818
20.94,3531.811
20.99,3534.778
21.04,3537.721
21.09,3540.638
21.14,3543.529
21.19,3546.396
21.24,3549.237
21.29,3552.052
21.34,3554.843
21.39,3557.608
21.44,3560.348
21.49,3563.062
21.54,3565.752
21.59,3568.416
21.64,3571.055
21.69,3573.669
21.74,3576.258
21.79,3578.821
21.84,3581.36
21.89,3583.873
21.94,3586.361
21.99,3588.824
22.04,3591.262
22.09,3593.675
22.14,3596.063
22.19,3598.426
22.24,3600.764
22.29,3603.077
22.34,3605.365
22.39,3607.628
22.44,3609.866
22.49,3612.079
22.54,3614.267
22.59,3616.43
22.64,3618.569
22.69,3620.682
22.74,3622.77
22.79,3624.834
22.84,3626.873
22.89,3628.886
22.94,3630.875
22.99,3632.839
23.04,3634.779
23.09,3636.693
23.14,3638.583
23.19,3640.448
23.24,3642.288
23.29,3644.103
23.34,3645.894
23.39,3647.66
23.44,3649.401
23.49,3651.117
23.54,3652.808
23.59,3654.475
23.64,3656.117
23.69,3657.735
23.74,3659.328
23.79,3660.896
23.84,3662.439
23.89,3663.958
23.94,3665.452
23.99,3666.921
24.04,3668.366
24.09,3669.786
24.14,3671.181
24.19,3672.552
24.24,3673.898
24.29,3675.219
24.34,3676.516
24.39,3677.789
24.44,3679.036
24.49,3680.259
24.54,3681.458
24.59,3682.632
24.64,3683.781
24.69,3684.906
24.74,3686.006
24.79,3687.081
24.84,3688.132
24.89,3689.159
24.94,3690.161
24.99,3691.138
25.04,3692.091
25.09,3693.019
25.14,3693.923
25.19,3694.802
25.24,3695.657
25.29,3696.487
25.34,3697.293
25.39,3698.075
25.44,3698.831
25.49,3699.564
25.54,3700.271
25.59,3700.955
25.64,3701.614
25.69,3702.248
25.74,3702.858
25.79,3703.444
25.84,3704.005
25.89,3704.541
25.94,3705.053
25.99,3705.541
26.04,3706.004
26.09,3706.443
26.14,3706.858
26.19,3707.248
26.24,3707.613
26.29,3707.955
26.34,3708.271
26.39,3708.564
26.44,3708.832
26.49,3709.075
26.54,3709.295
26.59,3709.49
26.64,3709.66
26.69,3709.806
26.74,3709.928
26.79,3710.026
26.84,3710.099
26.89,3710.148
26.94,3710.172
# Event APOGEE occurred at t=26.99 seconds
26.99,3710.172
27.04,3710.147
27.09,3710.098
27.14,3710.025
27.19,3709.927
27.24,3709.805
27.29,3709.658
27.34,3709.487
27.39,3709.292
27.44,3709.072
27.49,3708.828
27.54,3708.56
27.59,3708.267
27.64,3707.95
27.69,3707.609
27.74,3707.243
27.79,3706.854
27.84,3706.44
27.89,3706.002
27.94,3705.54
27.99,3705.055
28.04,3704.545
28.09,3704.011
28.14,3703.454
28.19,3702.872
28.24,3702.268
28.29,3701.639
28.34,3700.987
28.39,3700.312
28.44,3699.613
28.49,3698.891
28.54,3698.146
28.59,3697.379
28.64,3696.588
28.69,3695.775
28.74,3694.939
28.79,3694.081
28.84,3693.2
28.89,3692.297
28.94,3691.372
28.99,3690.424
29.04,3689.454
29.09,3688.462
29.14,3687.448
29.19,3686.412
29.24,3685.354
29.29,3684.274
29.34,3683.172
29.39,3682.049
29.44,3680.903
29.49,3679.736
29.54,3678.548
29.59,3677.338
29.64,3676.106
29.69,3674.853
29.74,3673.579
29.79,3672.283
29.84,3670.965
29.89,3669.627
29.94,3668.267
29.99,3666.885
30.04,3665.482
30.09,3664.058
30.14,3662.613
30.19,3661.147
30.24,3659.659
30.29,3658.15
30.34,3656.62
30.39,3655.069
30.44,3653.496
30.49,3651.903
30.54,3650.288
30.59,3648.652
30.64,3646.995
30.69,3645.316
30.74,3643.617
30.79,3641.896
30.84,3640.154
30.89,3638.392
30.94,3636.608
30.99,3634.803
31.04,3632.977
31.09,3631.13
31.14,3629.263
31.19,3627.374
31.24,3625.465
31.29,3623.535
31.34,3621.585
31.39,3619.614
31.44,3617.622
31.49,3615.61
31.54,3613.578
31.59,3611.527
31.64,3609.455
31.69,3607.364
31.74,3605.253
31.79,3603.124
31.84,3600.975
31.89,3598.808
31.94,3596.623
31.99,3594.419
32.04,3592.198
32.09,3589.959
32.14,3587.703
32.19,3585.43
32.24,3583.141
32.29,3580.836
32.34,3578.516
32.39,3576.181
32.44,3573.831
32.49,3571.467
32.54,3569.09
32.59,3566.699
32.64,3564.296
32.69,3561.881
32.74,3559.455
32.79,3557.017
32.84,3554.569
32.89,3552.111
32.94,3549.642
32.99,3547.165
33.04,3544.679
33.09,3542.184
33.14,3539.68
33.19,3537.169
33.24,3534.651
33.29,3532.125
33.34,3529.592
33.39,3527.052
33.44,3524.505
33.49,3521.952
33.54,3519.393
33.59,3516.827
33.64,3514.255
33.69,3511.677
33.74,3509.092
33.79,3506.501
33.84,3503.904
33.89,3501.3
33.94,3498.689
33.99,3496.071
34.04,3493.447
34.09,3490.816
34.14,3488.177
34.19,3485.531
34.24,3482.877
34.29,3480.215
34.34,3477.545
34.39,3474.868
34.44,3472.181
34.49,3469.487
34.54,3466.784
34.59,3464.072
34.64,3461.351
34.69,3458.622
34.74,3455.884
34.79,3453.137
34.84,3450.382
34.89,3447.619
34.94,3444.847
34.99,3442.066
35.04,3439.278
35.09,3436.482
35.14,3433.678
35.19,3430.867
35.24,3428.049
35.29,3425.225
35.34,3422.395
35.39,3419.559
35.44,3416.718
35.49,3413.873
35.54,3411.023
35.59,3408.17
35.64,3405.314
35.69,3402.455
35.74,3399.595
35.79,3396.733
35.84,3393.87
