# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
0.01,-2.205e-4,-0.044,-4.41,0.044,4.41,0,0,0,0,0,0,28.61,-80.6,9.788,91.096,0,0,0,3.007e4,8057.547,23.242,0.066,NaN,182.898,NaN,0.007,4.304e5,161.698,-3.946e-7,0.594,-1.034e-5,0.512,0.009,0.072,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.647e-6,13.081,134.391,90,0,2.305,5.9,856.197,334.874,0.01,0.003
0.02,3.173e-4,0.063,6.349,0.063,6.349,0,0,0,0,0,0,28.61,-80.6,9.788,88.413,0,0,0,3.006e4,8051.093,23.236,0.066,NaN,182.879,NaN,0.007,4.279e5,485.095,1.178e-6,0.594,3.123e-5,0.512,0.009,0.072,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.126e-6,13.081,134.391,90,0,2.291,5.9,856.197,334.874,0.01,0.005
0.03,0.002,0.235,17.112,0.235,17.112,0,0,0,0,0,0,28.61,-80.6,9.788,84.118,0,0,0,3.006e4,8044.64,23.231,0.066,NaN,182.86,NaN,0.007,4.274e5,808.492,5.716e-5,0.594,0.002,0.513,0.009,0.072,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.003e-5,13.081,134.391,90,0,2.277,5.9,856.197,334.874,0.01,0.006
0.04,0.006,0.513,27.88,0.513,27.88,0,0,0,0,0,0,28.61,-80.6,9.788,77.22,0,0,0,3.005e4,8038.187,23.226,0.066,NaN,182.841,NaN,0.007,4.333e5,1131.889,5.557e-4,0.593,0.014,0.511,0.009,0.072,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.572e-5,13.081,134.391,90,0,2.263,5.9,856.197,334.874,0.01,0.008
0.05,0.013,0.9,38.653,0.9,38.653,0,0,0,0,0,0,28.61,-80.6,9.788,68.196,0,0,0,3.004e4,8031.733,23.221,0.066,NaN,182.822,NaN,0.007,4.523e5,1455.286,0.003,0.588,0.063,0.506,0.009,0.072,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.152e-4,13.081,134.391,90,0,2.249,5.9,856.196,334.874,0.01,0.009
0.06,0.024,1.394,49.43,1.394,49.43,0,0,0,0,0,0,28.61,-80.6,9.788,57.984,0,0,0,3.004e4,8025.28,23.215,0.066,NaN,182.803,NaN,0.008,4.91e5,1778.683,0.008,0.579,0.171,0.498,0.009,0.072,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.785e-4,13.081,134.391,90,0,2.23,5.9,856.195,334.874,0.01,0.011
0.07,0.041,1.996,60.212,1.996,60.212,0,0,0,0,0,0,28.61,-80.6,9.788,47.911,0,0,0,3.003e4,8018.827,23.21,0.066,NaN,182.784,NaN,0.009,5.561e5,2102.08,0.02,0.566,0.32,0.485,0.009,0.072,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.556e-4,13.081,134.391,90,0,2.21,5.9,856.193,334.874,0.01,0.012
0.08,0.065,2.706,70.998,2.706,70.998,0,0,0,0,0,0,28.61,-80.6,9.788,38.988,0,0,0,3.002e4,8012.373,23.204,0.066,NaN,182.765,NaN,0.01,6.501e5,2425.477,0.04,0.551,0.465,0.469,0.009,0.072,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.465e-4,13.081,134.391,90,0,2.19,5.9,856.19,334.874,0.01,0.013
0.09,0.096,3.49,78.439,3.49,78.439,0,0,0,0,0,0,28.61,-80.6,9.788,31.88,0,0,0,3.001e4,8000.507,23.195,0.066,NaN,182.73,NaN,0.012,7.675e5,2647.848,0.069,0.535,0.566,0.453,0.009,0.072,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.469e-4,13.081,134.391,90,0,2.171,5.899,856.187,334.874,0.01,0.014
0.1,0.134,4.279,78.943,4.279,78.943,0,0,0,0,0,0,28.61,-80.6,9.788,26.687,0,0,0,3e4,7987.288,23.184,0.066,NaN,182.691,NaN,0.014,8.943e5,2661.853,0.102,0.521,0.618,0.439,0.009,0.072,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.479e-4,13.081,134.391,90,0,2.151,5.899,856.183,334.874,0.01,0.015
0.11,0.181,5.072,79.238,5.072,79.238,0,0,0,0,0,0,28.61,-80.6,9.788,23.224,0,0,0,2.998e4,7974.069,23.173,0.066,NaN,182.653,NaN,0.016,1.03e6,2669.543,0.139,0.509,0.636,0.427,0.009,0.072,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.493e-4,13.081,134.391,90,0,2.176,5.899,856.178,334.874,0.01,0.016
