# Simulation 6 (Up to date)
# 1058 data points written for 2 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (20.2 m/s)
#
# Time (s),Altitude (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,9.736e-4
0.02,0.007
# Event LIFTOFF occurred at t=0.03 seconds
0.03,0.022
0.04,0.048
0.05,0.086
0.06,0.133
0.07,0.191
0.08,0.259
0.09,0.337
0.1,0.426
0.11,0.525
0.12,0.63
0.128,0.734
0.137,0.837
0.144,0.94
# Event LAUNCHROD occurred at t=0.151 seconds
0.151,1.043
0.162,1.207
0.178,1.476
0.202,1.93
0.239,2.726
0.289,4.051
0.339,5.644
0.389,7.51
0.439,9.65
0.489,12.07
0.539,14.771
0.589,17.758
0.639,21.033
0.689,24.599
0.739,28.46
0.789,32.618
0.839,37.077
0.889,41.84
0.939,46.909
0.989,52.29
1.039,57.986
1.089,64
1.139,70.336
1.189,76.992
1.239,83.971
1.289,91.27
1.339,98.89
1.389,106.83
1.439,115.089
1.489,123.666
1.539,132.56
1.589,141.771
1.639,151.297
1.689,161.136
1.739,171.284
1.789,181.74
1.839,192.499
1.889,203.559
1.939,214.917
1.989,226.571
2.039,238.516
2.089,250.75
2.139,263.269
2.189,276.071
2.239,289.152
2.289,302.51
2.339,316.141
2.389,330.044
2.439,344.214
2.489,358.65
2.539,373.35
2.589,388.313
2.639,403.541
2.689,419.033
2.739,434.79
2.789,450.77
2.839,466.874
2.889,483.01
2.939,499.127
2.989,515.198
# Event BURNOUT occurred at t=2.99 seconds
# Event EJECTION_CHARGE occurred at t=2.991 seconds
2.991,516
2.995,517.202
3.001,519.006
3.009,521.709
3.022,525.761
3.041,531.831
3.069,540.918
3.112,554.51
3.162,570.361
3.212,586.148
3.262,601.872
3.312,617.534
3.362,633.133
3.412,648.669
3.462,664.145
3.512,679.558
3.562,694.911
3.612,710.203
3.662,725.434
3.712,740.605
3.762,755.717
3.812,770.769
